t,h,season
9.5,65.5,sp
11.6,41.9,sp
12.9,37.9,sp
12.4,35.4,sp
14,38.8,sp
18.4,46,sp
18.7,32,sp
15.5,57.4,sp
9.3,93.9,sp
12.1,63.3,sp
14.6,37.8,sp
14.9,51.9,sp
15.7,52.9,sp
15.4,49,sp
16.2,43.1,sp
19.2,61.6,sp
20.4,72.8,sp
15.1,90.4,sp
11.2,62.4,sp
14.1,45.5,sp
18.3,46.8,sp
16.6,86.4,sp
19.2,60.3,sp
17.5,50.9,sp
15.7,50.4,sp
15.4,67.4,sp
16.1,59.8,sp
14.2,89.3,sp
15.8,82.5,sp
18.2,71.4,sp
23.2,56.4,sp
27.1,57.8,su
29.2,51.4,su
28.1,51.5,su
24.2,82.3,su
26.5,87.8,su
29.5,82.9,su
28.2,82.4,su
30.9,74.8,su
31.9,69.6,su
33.2,69.6,su
34,64.3,su
32.1,66.5,su
33.2,64.8,su
34.1,64.1,su
34.7,62.6,su
36.9,53.6,su
38,49.6,su
35.7,53.8,su
36.8,59.5,su
34.1,66.3,su
33.7,68.8,su
35.4,69.3,su
35.2,77.1,su
36.7,52.4,su
36.9,50.9,su
38.3,50.5,su
39.6,55.5,su
37.9,54.4,su
37.9,55.3,su
34.9,60.6,su
33.9,71.8,su
15.8,42.5,a
16.6,47.6,a
16.2,47.1,a
16.5,58.8,a
17,58.3,a
17,58.6,a
17.6,52.8,a
16.3,50.4,a
13.7,47,a
14.4,54.3,a
14.4,59,a
14.5,56.5,a
16.9,54.4,a
17.2,51.9,a
11.5,45.6,a
7.7,27.4,a
10.4,54.3,a
14.4,72.4,a
15.5,78.8,a
12.3,66,a
7.8,47.9,a
8.4,52.5,a
11.4,64.5,a
14.4,61.4,a
13.1,53.3,a
9.4,39.6,a
9.8,56.3,a
5.9,42.9,a
5.3,57.1,a
8.4,64.4,a
7.5,42.5,a
-5.1,39.1,w
-4.3,42,w
-7.1,42.3,w
-8.7,43,w
-5.6,48.4,w
-6.8,45.8,w
-5.7,42.1,w
-1.2,51.9,w
-6.1,59.4,w
-10.3,52,w
-13.6,49.8,w
-15.3,35.4,w
-6.6,67.3,w
-4.4,64.1,w
1.8,63.9,w
0.1,59.1,w
2.4,64.1,w
0.3,59.6,w
-2.5,43,w
-1,57.6,w
-3.7,36.6,w
-5.3,56.5,w
-14.6,42,w
-16.3,31.6,w
-16.4,32.6,w
-17.8,34.9,w
-15.9,37.4,w
-9.3,36,w
-11.6,35,w
-11.4,62,w
-5.2,54.5,w
-7.6,49.4,w
-4.6,59.9,w
3.1,83.1,w
-6.1,48.1,w
-8.2,40.1,w
-4.5,72.6,w
-3.5,64.5,w
-7.1,41.3,w
-5.6,46.1,w
-2.5,67.9,w
-11,40.5,w
-12.3,41.9,w
-12,42,w
-11.2,42.9,w
-7.5,52.6,w
-8.1,43.1,w
-10.8,38.1,w
-5.9,80,w
-6.5,49.4,w
-8.5,68,w
-5.6,71.4,w
-1.9,66.6,w
5,75.8,w
-0.6,82,w
-4.9,43.1,w
-7.9,41.8,w
-10.3,31.4,w
-6.8,47,w
-0.4,67,w
-1.2,79.5,w
-3.2,54.4,w
27.3,89,su
28.8,83.4,su
29,77.3,su
30.7,80.6,su
34.1,71.4,su
34.9,66.1,su
32.4,73.1,su
32.5,75.8,su
28.1,89.5,su
27.3,82.3,su
35.4,64.1,su
32.8,55.6,su
29.7,62.5,su
26.9,92.1,su
30.1,72.3,su
32.6,64.4,su
27.1,82.3,su
33,73,su
33,71.9,su
33.9,60.6,su
35.3,60.1,su
34.8,63,su
34,71.9,su
34.4,68.1,su
31,67.1,su
32,66.4,su
26.3,89.9,su
32.4,72.5,su
32.6,60.3,su
28.4,62.1,su
27.1,67.5,su
16.8,59.4,sp
18.7,52.9,sp
14.7,66.5,sp
11.7,76.5,sp
12.6,43.1,sp
12.9,45.4,sp
13.1,56.5,sp
14.8,48.4,sp
14.9,40,sp
15.1,39.4,sp
16,56.8,sp
15.1,36,sp
13.6,41.8,sp
14.4,57.3,sp
17.1,44.3,sp
19.3,57.9,sp
20.1,50.8,sp
20.7,42,sp
21.5,34.1,sp
21,43.6,sp
20.9,53.4,sp
14.9,32,sp
16.6,42.6,sp
17.9,43.6,sp
17.1,62.6,sp
16.4,73,sp
19.3,65.3,sp
19.1,71.6,sp
16.4,77.8,sp
15.7,58.3,sp
16,61.4,sp
22.6,48.4,a
22,50.9,a
23.1,51.3,a
21.9,62.8,a
22.6,79.1,a
19.5,48.9,a
20.3,57.3,a
20.6,60.8,a
21.8,69.8,a
22.4,71.5,a
23.4,58,a
25.1,57,a
22.7,66.4,a
19.2,49.1,a
17.4,39.3,a
20,64.9,a
18.2,74.8,a
22,62.3,a
17.6,49.8,a
16.7,48.5,a
18.7,56.4,a
18.9,66.4,a
21.9,67.6,a
23,66.9,a
22.5,66,a
21.4,76.9,a
15.5,77.1,a
11.4,71,a
12.8,51,a
14.4,42.8,a
21.1,69,a
19,84.1,a
22.7,73.3,a
22,58.9,a
21.1,61.9,a
18,59.3,a
19.7,67.8,a
16.8,66.4,a
11.3,46.3,a
14,43.3,a
15.4,62.4,a
15.5,57,a
15.2,44.1,a
16.7,61.8,a
19.1,60.6,a
17.2,74.1,a
17.5,76.1,a
17,70.9,a
18,67.6,a
18.6,61.3,a
17.9,58.6,a
18.3,59,a
13.3,66.3,a
15.1,54.8,a
14.1,84,a
13.3,81,a
14.6,65.4,a
14.6,61.8,a
7.8,40.3,a
7.9,31.9,a
5.7,59.9,a
29.2,60,su
23.8,92.8,su
23.1,82.9,su
28.4,75.1,su
32.4,65.5,su
32.9,62.5,su
32.2,61.3,su
34.1,64,su
31.6,70.4,su
30.1,77.9,su
31.4,75.3,su
31.9,69,su
28.9,76.4,su
30.5,70.6,su
28.4,82.3,su
33,73.5,su
32.8,72.1,su
32.4,72,su
31.1,72.5,su
34.2,65.4,su
35.7,59.6,su
36,60.1,su
34,64.8,su
35,56,su
35.5,63.1,su
33.6,68.3,su
34.8,66.3,su
36.4,64.1,su
35.9,68.3,su
35.1,67.9,su
31.8,74,su
15,46.4,sp
14.9,58.9,sp
10.8,66.8,sp
11.2,65.4,sp
12,55.1,sp
14.3,54,sp
13.5,87.6,sp
13.5,83.4,sp
13.5,52.1,sp
15.5,39.6,sp
17.2,34.8,sp
21.1,34.8,sp
17.2,32,sp
17.2,34.4,sp
16.2,47.6,sp
15.9,45.3,sp
18.8,40.5,sp
21.1,64.5,sp
12.9,86.1,sp
15.7,46.6,sp
18.9,50.8,sp
16.3,89.3,sp
16.5,60.3,sp
19.4,44.8,sp
20.2,43,sp
14.5,82.4,sp
16.4,60.9,sp
17.8,62.4,sp
18.6,57,sp
20.2,47.1,sp
17.4,73.9,sp
-1.6,75.9,w
1.8,77.8,w
-2.3,61.8,w
1,55,w
-0.1,52.3,w
2.5,58.5,w
0,64.9,w
4,61.4,w
-3.1,60.8,w
-7.4,45.1,w
-9.4,36.4,w
-6.1,43.1,w
-8.6,47.4,w
-10.5,33.3,w
-11.5,35.3,w
-8.9,37.6,w
-7.1,46.6,w
-3,68.9,w
-4.9,55.4,w
-7.8,70.3,w
-10,78.1,w
-10.9,51.3,w
-12.6,48.4,w
-11.6,49.6,w
-10.2,50.6,w
-7.9,64.4,w
-5.7,47.3,w
-8.2,38,w
-0.9,71.1,w
-7.9,61.4,w
-9.9,44.8,w
